cycle_id,scenario_id,scenario_cycle,scenario_name,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before_dataset,packet_size,event_type_dataset,priority_dataset,cm_priority,cm_event_type,cm_main_path,cm_sub_policy,cm_decision,cm_selected_interface,cm_outcome,cm_ack_success,cm_dtn_before,cm_dtn_after,cm_flush_triggered,cm_flush_interface,cm_flush_sent,cm_wifi_scan_done,cm_energy_proxy,runner_lora_ops,runner_wifi_ops,runner_ble_reliable_ops,runner_ble_adv_ops,runner_wifi_maint_ops,runner_total_radio_ops,expected_policy,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,match_interface,match_outcome,match_dtn_after
47,S7,2,LOW battery; noncritical soil; warning-store policy,40,Normal,LOW,0.79,NA,No,NA,No,NA,16,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,16,17,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,17,1,1,1
48,S7,1,LOW battery; noncritical soil; warning-store policy,39,Normal,LOW,0.8,NA,No,NA,No,NA,15,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,15,16,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,16,1,1,1
49,S1,8,Normal soil; OK energy; reliable LoRa,41,Normal,OK,0.96,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
50,S4,5,Extreme dry; OK energy; deterministic cascade,9,Extreme_Dry,OK,0.36000000000000004,No,No,NA,No,NA,14,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,14,15,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,15,1,1,1
51,S10,10,Scheduled WiFi maintenance gating,38,Normal,OK,0.855,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,8,8,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,8,1,1,1
52,S5,7,Extreme wet; OK energy; deterministic cascade,94,Extreme_Wet,OK,0.31999999999999995,No,No,NA,Yes,Yes,18,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,18,18,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,18,1,1,1
53,S1,3,Normal soil; OK energy; reliable LoRa,38,Normal,OK,0.96,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
54,S6,2,Extreme soil event; LOW energy; LoRa-only emergency,7,Extreme_Dry,LOW,0.44,No,Yes,NA,Yes,NA,19,96,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_store,dtn,stored,0,19,20,0,,0,0,1.3,1,0,0,0,0,1,low_energy_critical_lora_only,DTN,Store,Stored,Enqueue,20,1,1,1
55,S2,7,Normal soil; OK energy; poor LoRa history,38,Normal,OK,0.27,No,No,NA,No,NA,6,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,6,7,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,7,1,1,1
56,S4,9,Extreme dry; OK energy; deterministic cascade,10,Extreme_Dry,OK,0.32,No,No,NA,Yes,Yes,18,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,18,18,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,18,1,1,1
57,S6,9,Extreme soil event; LOW energy; LoRa-only emergency,94,Extreme_Wet,LOW,0.37,No,Yes,NA,Yes,NA,26,96,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_store,dtn,stored,0,26,27,0,,0,0,1.3,1,0,0,0,0,1,low_energy_critical_lora_only,DTN,Store,Stored,Enqueue,27,1,1,1
58,S7,9,LOW battery; noncritical soil; warning-store policy,42,Normal,LOW,0.7200000000000001,NA,No,NA,No,NA,23,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,23,24,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,24,1,1,1
59,S3,3,Rainfall/noncritical wet soil with weak LoRa,76,Wet,OK,0.18,No,No,NA,No,NA,5,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,5,6,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,6,1,1,1
60,S7,3,LOW battery; noncritical soil; warning-store policy,41,Normal,LOW,0.78,NA,No,NA,No,NA,17,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,17,18,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,18,1,1,1
61,S3,5,Rainfall/noncritical wet soil with weak LoRa,75,Wet,OK,0.24,No,No,NA,No,NA,7,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,7,8,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,8,1,1,1
62,S1,6,Normal soil; OK energy; reliable LoRa,44,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
63,S1,7,Normal soil; OK energy; reliable LoRa,39,Normal,OK,0.92,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
64,S7,8,LOW battery; noncritical soil; warning-store policy,41,Normal,LOW,0.73,NA,No,NA,No,NA,22,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,22,23,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,23,1,1,1
65,S9,3,High DTN backlog; OK energy; ANSA-Lite recovery,42,Normal,OK,0.77,Yes,Yes,Yes,No,NA,32,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,32,32,0,,0,0,1.7,1,0,0,0,0,1,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Dequeue,29,1,1,0
66,S2,10,Normal soil; OK energy; poor LoRa history,44,Normal,OK,0.32,No,No,NA,No,NA,9,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,9,10,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,10,1,1,1
67,S8,10,CRITICAL battery; store-only protection,39,Normal,CRITICAL,0.81,NA,No,NA,No,NA,29,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,29,30,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,30,1,1,1
68,S5,4,Extreme wet; OK energy; deterministic cascade,95,Extreme_Wet,OK,0.33499999999999996,No,Yes,No,Yes,No,15,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,15,16,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,16,1,1,1
69,S10,1,Scheduled WiFi maintenance gating,37,Normal,OK,0.9,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,8,8,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,8,1,1,1
70,S3,1,Rainfall/noncritical wet soil with weak LoRa,72,Wet,OK,0.2,No,No,NA,No,NA,3,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,3,4,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,4,1,1,1
71,S1,1,Normal soil; OK energy; reliable LoRa,34,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,0,0,0,,0,0,1.7,1,0,0,0,0,1,fuzzy_lora_tx,LORA,Send,Delivered,None,0,1,1,1
72,S10,6,Scheduled WiFi maintenance gating,38,Normal,OK,0.875,Yes,Yes,Yes,No,NA,10,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,10,10,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,10,1,1,1
73,S6,8,Extreme soil event; LOW energy; LoRa-only emergency,7,Extreme_Dry,LOW,0.38,Yes,Yes,NA,Yes,NA,25,96,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_lora_only,lora,success,1,25,25,0,,0,0,1.7,1,0,0,0,0,1,low_energy_critical_lora_only,LORA,Send,Delivered,None,25,1,1,1
74,S10,4,Scheduled WiFi maintenance gating,40,Normal,OK,0.885,Yes,Yes,Yes,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,8,8,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,8,1,1,1
75,S6,4,Extreme soil event; LOW energy; LoRa-only emergency,7,Extreme_Dry,LOW,0.42000000000000004,No,Yes,NA,Yes,NA,21,96,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_store,dtn,stored,0,21,22,0,,0,0,1.3,1,0,0,0,0,1,low_energy_critical_lora_only,DTN,Store,Stored,Enqueue,22,1,1,1
76,S9,10,High DTN backlog; OK energy; ANSA-Lite recovery,44,Normal,OK,0.735,Yes,Yes,Yes,No,NA,39,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,39,40,0,,0,0,0.3,0,0,0,0,0,0,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Dequeue,36,0,0,0
77,S3,6,Rainfall/noncritical wet soil with weak LoRa,73,Wet,OK,0.21,No,No,NA,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,8,9,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,9,1,1,1
78,S8,2,CRITICAL battery; store-only protection,39,Normal,CRITICAL,0.89,NA,No,NA,No,NA,21,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,21,22,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,22,1,1,1
79,S9,5,High DTN backlog; OK energy; ANSA-Lite recovery,44,Normal,OK,0.76,Yes,Yes,NA,No,NA,34,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,34,35,0,,0,0,0.3,0,0,0,0,0,0,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Dequeue,31,0,0,0
80,S8,8,CRITICAL battery; store-only protection,41,Normal,CRITICAL,0.8300000000000001,NA,No,NA,No,NA,27,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,27,28,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,28,1,1,1
81,S7,5,LOW battery; noncritical soil; warning-store policy,43,Normal,LOW,0.76,NA,No,NA,No,NA,19,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,19,20,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,20,1,1,1
82,S3,10,Rainfall/noncritical wet soil with weak LoRa,76,Wet,OK,0.16,No,No,NA,No,NA,12,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,12,13,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,13,1,1,1
